Country,Date,Count
Afghanistan,22-01-2020,0
Afghanistan,23-01-2020,0
Afghanistan,24-01-2020,0
Afghanistan,25-01-2020,0
Afghanistan,26-01-2020,0
Afghanistan,27-01-2020,0
Afghanistan,28-01-2020,0
Afghanistan,29-01-2020,0
Afghanistan,30-01-2020,0
Afghanistan,31-01-2020,0
Afghanistan,02-01-2020,0
Afghanistan,02-02-2020,0
Afghanistan,02-03-2020,0
Afghanistan,02-04-2020,0
Afghanistan,02-05-2020,0
Afghanistan,02-06-2020,0
Afghanistan,02-07-2020,0
Afghanistan,02-08-2020,0
Afghanistan,02-09-2020,0
Afghanistan,02-10-2020,0
Afghanistan,02-11-2020,0
Afghanistan,02-12-2020,0
Afghanistan,13-02-2020,0
Afghanistan,14-02-2020,0
Afghanistan,15-02-2020,0
Afghanistan,16-02-2020,0
Afghanistan,17-02-2020,0
Afghanistan,18-02-2020,0
Afghanistan,19-02-2020,0
Afghanistan,20-02-2020,0
Afghanistan,21-02-2020,0
Afghanistan,22-02-2020,0
Afghanistan,23-02-2020,0
Afghanistan,24-02-2020,1
Afghanistan,25-02-2020,1
Afghanistan,26-02-2020,1
Afghanistan,27-02-2020,1
Afghanistan,28-02-2020,1
Afghanistan,29-02-2020,1
Afghanistan,03-01-2020,1
Afghanistan,03-02-2020,1
Afghanistan,03-03-2020,1
Afghanistan,03-04-2020,1
Afghanistan,03-05-2020,1
Afghanistan,03-06-2020,1
Afghanistan,03-07-2020,1
Afghanistan,03-08-2020,4
Afghanistan,03-09-2020,4
Afghanistan,03-10-2020,5
Afghanistan,03-11-2020,7
Afghanistan,03-12-2020,7
Afghanistan,13-03-2020,7
Afghanistan,14-03-2020,11
Afghanistan,15-03-2020,16
Afghanistan,16-03-2020,21
Afghanistan,17-03-2020,22
Afghanistan,18-03-2020,22
Afghanistan,19-03-2020,22
Afghanistan,20-03-2020,24
Afghanistan,21-03-2020,24
Afghanistan,22-03-2020,40
Afghanistan,23-03-2020,40
Albania,22-01-2020,0
Albania,23-01-2020,0
Albania,24-01-2020,0
Albania,25-01-2020,0
Albania,26-01-2020,0
Albania,27-01-2020,0
Albania,28-01-2020,0
Albania,29-01-2020,0
Albania,30-01-2020,0
Albania,31-01-2020,0
Albania,02-01-2020,0
Albania,02-02-2020,0
Albania,02-03-2020,0
Albania,02-04-2020,0
Albania,02-05-2020,0
Albania,02-06-2020,0
Albania,02-07-2020,0
Albania,02-08-2020,0
Albania,02-09-2020,0
Albania,02-10-2020,0
Albania,02-11-2020,0
Albania,02-12-2020,0
Albania,13-02-2020,0
Albania,14-02-2020,0
Albania,15-02-2020,0
Albania,16-02-2020,0
Albania,17-02-2020,0
Albania,18-02-2020,0
Albania,19-02-2020,0
Albania,20-02-2020,0
Albania,21-02-2020,0
Albania,22-02-2020,0
Albania,23-02-2020,0
Albania,24-02-2020,0
Albania,25-02-2020,0
Albania,26-02-2020,0
Albania,27-02-2020,0
Albania,28-02-2020,0
Albania,29-02-2020,0
Albania,03-01-2020,0
Albania,03-02-2020,0
Albania,03-03-2020,0
Albania,03-04-2020,0
Albania,03-05-2020,0
Albania,03-06-2020,0
Albania,03-07-2020,0
Albania,03-08-2020,0
Albania,03-09-2020,2
Albania,03-10-2020,10
Albania,03-11-2020,12
Albania,03-12-2020,23
Albania,13-03-2020,33
Albania,14-03-2020,38
Albania,15-03-2020,42
Albania,16-03-2020,51
Albania,17-03-2020,55
Albania,18-03-2020,59
Albania,19-03-2020,64
Albania,20-03-2020,70
Albania,21-03-2020,76
Albania,22-03-2020,89
Albania,23-03-2020,89
Algeria,22-01-2020,0
Algeria,23-01-2020,0
Algeria,24-01-2020,0
Algeria,25-01-2020,0
Algeria,26-01-2020,0
Algeria,27-01-2020,0
Algeria,28-01-2020,0
Algeria,29-01-2020,0
Algeria,30-01-2020,0
Algeria,31-01-2020,0
Algeria,02-01-2020,0
Algeria,02-02-2020,0
Algeria,02-03-2020,0
Algeria,02-04-2020,0
Algeria,02-05-2020,0
Algeria,02-06-2020,0
Algeria,02-07-2020,0
Algeria,02-08-2020,0
Algeria,02-09-2020,0
Algeria,02-10-2020,0
Algeria,02-11-2020,0
Algeria,02-12-2020,0
Algeria,13-02-2020,0
Algeria,14-02-2020,0
Algeria,15-02-2020,0
Algeria,16-02-2020,0
Algeria,17-02-2020,0
Algeria,18-02-2020,0
Algeria,19-02-2020,0
Algeria,20-02-2020,0
Algeria,21-02-2020,0
Algeria,22-02-2020,0
Algeria,23-02-2020,0
Algeria,24-02-2020,0
Algeria,25-02-2020,1
Algeria,26-02-2020,1
Algeria,27-02-2020,1
Algeria,28-02-2020,1
Algeria,29-02-2020,1
Algeria,03-01-2020,1
Algeria,03-02-2020,3
Algeria,03-03-2020,5
Algeria,03-04-2020,12
Algeria,03-05-2020,12
Algeria,03-06-2020,17
Algeria,03-07-2020,17
Algeria,03-08-2020,19
Algeria,03-09-2020,20
Algeria,03-10-2020,20
Algeria,03-11-2020,20
Algeria,03-12-2020,24
Algeria,13-03-2020,26
Algeria,14-03-2020,37
Algeria,15-03-2020,48
Algeria,16-03-2020,54
Algeria,17-03-2020,60
Algeria,18-03-2020,74
Algeria,19-03-2020,87
Algeria,20-03-2020,90
Algeria,21-03-2020,139
Algeria,22-03-2020,201
Algeria,23-03-2020,201
Andorra,22-01-2020,0
Andorra,23-01-2020,0
Andorra,24-01-2020,0
Andorra,25-01-2020,0
Andorra,26-01-2020,0
Andorra,27-01-2020,0
Andorra,28-01-2020,0
Andorra,29-01-2020,0
Andorra,30-01-2020,0
Andorra,31-01-2020,0
Andorra,02-01-2020,0
Andorra,02-02-2020,0
Andorra,02-03-2020,0
Andorra,02-04-2020,0
Andorra,02-05-2020,0
Andorra,02-06-2020,0
Andorra,02-07-2020,0
Andorra,02-08-2020,0
Andorra,02-09-2020,0
Andorra,02-10-2020,0
Andorra,02-11-2020,0
Andorra,02-12-2020,0
Andorra,13-02-2020,0
Andorra,14-02-2020,0
Andorra,15-02-2020,0
Andorra,16-02-2020,0
Andorra,17-02-2020,0
Andorra,18-02-2020,0
Andorra,19-02-2020,0
Andorra,20-02-2020,0
Andorra,21-02-2020,0
Andorra,22-02-2020,0
Andorra,23-02-2020,0
Andorra,24-02-2020,0
Andorra,25-02-2020,0
Andorra,26-02-2020,0
Andorra,27-02-2020,0
Andorra,28-02-2020,0
Andorra,29-02-2020,0
Andorra,03-01-2020,0
Andorra,03-02-2020,1
Andorra,03-03-2020,1
Andorra,03-04-2020,1
Andorra,03-05-2020,1
Andorra,03-06-2020,1
Andorra,03-07-2020,1
Andorra,03-08-2020,1
Andorra,03-09-2020,1
Andorra,03-10-2020,1
Andorra,03-11-2020,1
Andorra,03-12-2020,1
Andorra,13-03-2020,1
Andorra,14-03-2020,1
Andorra,15-03-2020,1
Andorra,16-03-2020,2
Andorra,17-03-2020,39
Andorra,18-03-2020,39
Andorra,19-03-2020,53
Andorra,20-03-2020,75
Andorra,21-03-2020,88
Andorra,22-03-2020,113
Andorra,23-03-2020,113
Angola,22-01-2020,0
Angola,23-01-2020,0
Angola,24-01-2020,0
Angola,25-01-2020,0
Angola,26-01-2020,0
Angola,27-01-2020,0
Angola,28-01-2020,0
Angola,29-01-2020,0
Angola,30-01-2020,0
Angola,31-01-2020,0
Angola,02-01-2020,0
Angola,02-02-2020,0
Angola,02-03-2020,0
Angola,02-04-2020,0
Angola,02-05-2020,0
Angola,02-06-2020,0
Angola,02-07-2020,0
Angola,02-08-2020,0
Angola,02-09-2020,0
Angola,02-10-2020,0
Angola,02-11-2020,0
Angola,02-12-2020,0
Angola,13-02-2020,0
Angola,14-02-2020,0
Angola,15-02-2020,0
Angola,16-02-2020,0
Angola,17-02-2020,0
Angola,18-02-2020,0
Angola,19-02-2020,0
Angola,20-02-2020,0
Angola,21-02-2020,0
Angola,22-02-2020,0
Angola,23-02-2020,0
Angola,24-02-2020,0
Angola,25-02-2020,0
Angola,26-02-2020,0
Angola,27-02-2020,0
Angola,28-02-2020,0
Angola,29-02-2020,0
Angola,03-01-2020,0
Angola,03-02-2020,0
Angola,03-03-2020,0
Angola,03-04-2020,0
Angola,03-05-2020,0
Angola,03-06-2020,0
Angola,03-07-2020,0
Angola,03-08-2020,0
Angola,03-09-2020,0
Angola,03-10-2020,0
Angola,03-11-2020,0
Angola,03-12-2020,0
Angola,13-03-2020,0
Angola,14-03-2020,0
Angola,15-03-2020,0
Angola,16-03-2020,0
Angola,17-03-2020,0
Angola,18-03-2020,0
Angola,19-03-2020,0
Angola,20-03-2020,1
Angola,21-03-2020,2
Angola,22-03-2020,2
Angola,23-03-2020,2
Antigua and Barbuda,22-01-2020,0
Antigua and Barbuda,23-01-2020,0
Antigua and Barbuda,24-01-2020,0
Antigua and Barbuda,25-01-2020,0
Antigua and Barbuda,26-01-2020,0
Antigua and Barbuda,27-01-2020,0
Antigua and Barbuda,28-01-2020,0
Antigua and Barbuda,29-01-2020,0
Antigua and Barbuda,30-01-2020,0
Antigua and Barbuda,31-01-2020,0
Antigua and Barbuda,02-01-2020,0
Antigua and Barbuda,02-02-2020,0
Antigua and Barbuda,02-03-2020,0
Antigua and Barbuda,02-04-2020,0
Antigua and Barbuda,02-05-2020,0
Antigua and Barbuda,02-06-2020,0
Antigua and Barbuda,02-07-2020,0
Antigua and Barbuda,02-08-2020,0
Antigua and Barbuda,02-09-2020,0
Antigua and Barbuda,02-10-2020,0
Antigua and Barbuda,02-11-2020,0
Antigua and Barbuda,02-12-2020,0
Antigua and Barbuda,13-02-2020,0
Antigua and Barbuda,14-02-2020,0
Antigua and Barbuda,15-02-2020,0
Antigua and Barbuda,16-02-2020,0
Antigua and Barbuda,17-02-2020,0
Antigua and Barbuda,18-02-2020,0
Antigua and Barbuda,19-02-2020,0
Antigua and Barbuda,20-02-2020,0
Antigua and Barbuda,21-02-2020,0
Antigua and Barbuda,22-02-2020,0
Antigua and Barbuda,23-02-2020,0
Antigua and Barbuda,24-02-2020,0
Antigua and Barbuda,25-02-2020,0
Antigua and Barbuda,26-02-2020,0
Antigua and Barbuda,27-02-2020,0
Antigua and Barbuda,28-02-2020,0
Antigua and Barbuda,29-02-2020,0
Antigua and Barbuda,03-01-2020,0
Antigua and Barbuda,03-02-2020,0
Antigua and Barbuda,03-03-2020,0
Antigua and Barbuda,03-04-2020,0
Antigua and Barbuda,03-05-2020,0
Antigua and Barbuda,03-06-2020,0
Antigua and Barbuda,03-07-2020,0
Antigua and Barbuda,03-08-2020,0
Antigua and Barbuda,03-09-2020,0
Antigua and Barbuda,03-10-2020,0
Antigua and Barbuda,03-11-2020,0
Antigua and Barbuda,03-12-2020,0
Antigua and Barbuda,13-03-2020,1
Antigua and Barbuda,14-03-2020,1
Antigua and Barbuda,15-03-2020,1
Antigua and Barbuda,16-03-2020,1
Antigua and Barbuda,17-03-2020,1
Antigua and Barbuda,18-03-2020,1
Antigua and Barbuda,19-03-2020,1
Antigua and Barbuda,20-03-2020,1
Antigua and Barbuda,21-03-2020,1
Antigua and Barbuda,22-03-2020,1
Antigua and Barbuda,23-03-2020,1
Argentina,22-01-2020,0
Argentina,23-01-2020,0
Argentina,24-01-2020,0
Argentina,25-01-2020,0
Argentina,26-01-2020,0
Argentina,27-01-2020,0
Argentina,28-01-2020,0
Argentina,29-01-2020,0
Argentina,30-01-2020,0
Argentina,31-01-2020,0
Argentina,02-01-2020,0
Argentina,02-02-2020,0
Argentina,02-03-2020,0
Argentina,02-04-2020,0
Argentina,02-05-2020,0
Argentina,02-06-2020,0
Argentina,02-07-2020,0
Argentina,02-08-2020,0
Argentina,02-09-2020,0
Argentina,02-10-2020,0
Argentina,02-11-2020,0
Argentina,02-12-2020,0
Argentina,13-02-2020,0
Argentina,14-02-2020,0
Argentina,15-02-2020,0
Argentina,16-02-2020,0
Argentina,17-02-2020,0
Argentina,18-02-2020,0
Argentina,19-02-2020,0
Argentina,20-02-2020,0
Argentina,21-02-2020,0
Argentina,22-02-2020,0
Argentina,23-02-2020,0
Argentina,24-02-2020,0
Argentina,25-02-2020,0
Argentina,26-02-2020,0
Argentina,27-02-2020,0
Argentina,28-02-2020,0
Argentina,29-02-2020,0
Argentina,03-01-2020,0
Argentina,03-02-2020,0
Argentina,03-03-2020,1
Argentina,03-04-2020,1
Argentina,03-05-2020,1
Argentina,03-06-2020,2
Argentina,03-07-2020,8
Argentina,03-08-2020,12
Argentina,03-09-2020,12
Argentina,03-10-2020,17
Argentina,03-11-2020,19
Argentina,03-12-2020,19
Argentina,13-03-2020,31
Argentina,14-03-2020,34
Argentina,15-03-2020,45
Argentina,16-03-2020,56
Argentina,17-03-2020,68
Argentina,18-03-2020,79
Argentina,19-03-2020,97
Argentina,20-03-2020,128
Argentina,21-03-2020,158
Argentina,22-03-2020,225
Argentina,23-03-2020,225
Armenia,22-01-2020,0
Armenia,23-01-2020,0
Armenia,24-01-2020,0
Armenia,25-01-2020,0
Armenia,26-01-2020,0
Armenia,27-01-2020,0
Armenia,28-01-2020,0
Armenia,29-01-2020,0
Armenia,30-01-2020,0
Armenia,31-01-2020,0
Armenia,02-01-2020,0
Armenia,02-02-2020,0
Armenia,02-03-2020,0
Armenia,02-04-2020,0
Armenia,02-05-2020,0
Armenia,02-06-2020,0
Armenia,02-07-2020,0
Armenia,02-08-2020,0
Armenia,02-09-2020,0
Armenia,02-10-2020,0
Armenia,02-11-2020,0
Armenia,02-12-2020,0
Armenia,13-02-2020,0
Armenia,14-02-2020,0
Armenia,15-02-2020,0
Armenia,16-02-2020,0
Armenia,17-02-2020,0
Armenia,18-02-2020,0
Armenia,19-02-2020,0
Armenia,20-02-2020,0
Armenia,21-02-2020,0
Armenia,22-02-2020,0
Armenia,23-02-2020,0
Armenia,24-02-2020,0
Armenia,25-02-2020,0
Armenia,26-02-2020,0
Armenia,27-02-2020,0
Armenia,28-02-2020,0
Armenia,29-02-2020,0
Armenia,03-01-2020,1
Armenia,03-02-2020,1
Armenia,03-03-2020,1
Armenia,03-04-2020,1
Armenia,03-05-2020,1
Armenia,03-06-2020,1
Armenia,03-07-2020,1
Armenia,03-08-2020,1
Armenia,03-09-2020,1
Armenia,03-10-2020,1
Armenia,03-11-2020,1
Armenia,03-12-2020,4
Armenia,13-03-2020,8
Armenia,14-03-2020,18
Armenia,15-03-2020,26
Armenia,16-03-2020,52
Armenia,17-03-2020,78
Armenia,18-03-2020,84
Armenia,19-03-2020,115
Armenia,20-03-2020,136
Armenia,21-03-2020,160
Armenia,22-03-2020,194
Armenia,23-03-2020,194
Australia,22-01-2020,0
Australia,23-01-2020,0
Australia,24-01-2020,0
Australia,25-01-2020,0
Australia,26-01-2020,4
Australia,27-01-2020,5
Australia,28-01-2020,5
Australia,29-01-2020,6
Australia,30-01-2020,9
Australia,31-01-2020,9
Australia,02-01-2020,12
Australia,02-02-2020,12
Australia,02-03-2020,12
Australia,02-04-2020,13
Australia,02-05-2020,13
Australia,02-06-2020,14
Australia,02-07-2020,15
Australia,02-08-2020,15
Australia,02-09-2020,15
Australia,02-10-2020,15
Australia,02-11-2020,15
Australia,02-12-2020,15
Australia,13-02-2020,15
Australia,14-02-2020,15
Australia,15-02-2020,15
Australia,16-02-2020,15
Australia,17-02-2020,15
Australia,18-02-2020,15
