Year, Value
1960,449480608
1961,458494963
1962,467852537
1963,477527970
1964,487484535
1965,497702365
1966,508161935
1967,518889779
1968,529967317
1969,541505076
1970,553578513
1971,566224812
1972,579411513
1973,593058926
1974,607050255
1975,621301720
1976,635771734
1977,650485030
1978,665502284
1979,680915804
1980,696783517
1981,713118032
1982,729868013
1983,746949067
1984,764245202
1985,781666671
1986,799181436
1987,816792741
1988,834489322
1989,852270034
1990,870133480
1991,888054875
1992,906021106
1993,924057817
1994,942204249
1995,960482795
1996,978893217
1997,997405318
1998,1015974042
1999,1034539214
2000,1053050912
2001,1071477855
2002,1089807112
2003,1108027848
2004,1126135777
2005,1144118674
2006,1161977719
2007,1179681239
2008,1197146906
2009,1214270132
2010,1230980691
2011,1247236029
2012,1263065852
2013,1278562207
2014,1293859294
2015,1309053980
2016,1324171354
2017,1334242422
2018,1350042144
